id,number,artist,title,genre,year,artwork_path
114,A 78 b,André van Duin,"We gaan naar Rome toe (Hi, ha, Honderiem)",Nederlands,1980,
115,A 79 a,André van Duin (Joep Meloen),Ik wil met jou wel zeven weken ...,Nederlands,1981,
116,A 79 b,André van Duin (Joep Meloen),Ik ben Joep meloen,Nederlands,1981,
117,A 80,Anita Meijer,Rock me up a mountain,,1980,
118,A 81 a,Abba,The winner takes it all,,1980,
119,A 81 b,Abba,Elaine,,1980,
120,A 82 a,Andy Kim,Baby I love you,,1969,
121,A 82 b,Andy Kim,Be my baby,,1969,
122,A 83 a,Abba,Super trouper,,1980,
123,A 83 b,Abba,The piper,,1980,
124,A 84,Adamo,Quand les roses,,1964,
125,A 85 a,André van Duin,Flip Fluitketel,Nederlands,1981,
126,A 85 b,André van Duin,Er staat een paard in de gang,Nederlands,1981,
127,A 86,Andy Kim,Walkin' my la de da,,1969,
128,A 87 a,Azoto,San Salvador,,1980,
129,A 87 b,Azoto,San Salvador,Instrumentaal,1980,
130,A 88 a,André van Duin,Me kammetje,Nederlands,1981,
131,A 88 b,André van Duin,Ik heb 'm nog wel,Nederlands,1981,
132,A 89,Aneka,Japanese boy,,1981,
133,A 90,Anita Meijer,"Why tell me, why",,1981,
134,A 91,Adam and the Ants,Prince Charming,,1981,
135,A 92,Aneka,Little lady,,1981,
136,A 93,Albert West,Don't say you leave this summer,,1981,
137,A 94 a,Abba,One of us,,1981,
138,A 94 b,Abba,Should I laugh or cry,,1981,
139,A 95,Anita Meyer,They don't play our lovesong anymore,,1981,
140,A 96,André Hazes,Zeg maar niets meer,Nederlands,1981,
141,A 97 a,Abba,Head over heels,,1981,
142,A 97 b,Abba,The visitors,,1981,
143,A 98,Al Jarreau,Roof garden,,1981,
144,A 99,Air Supply,Lost in love,,1980,
145,A 100,Amber,Just a bit attention,,1977,
146,A 101,Angel,Wintersong,,1977,
147,A 102,Andy Gibb,I just want to be your everything,,1977,
148,A 103,Al Stewart,On the border,,1977,
149,A 104 a,André van Duin,Bim bam (les trois cloches),Nederlands,1982,
150,A 104 b,André van Duin,Als je huilt (cry),Nederlands,1982,
151,A 105,André van Duin,Als de zon schijnt,Nederlands,1982,
153,A 106 a,André van Duin,De heidezangers (Oh baby mine I get so lonely,Nederlands,1983,
154,A 106 b,André van Duin,De konsnert zangeres (You'll never walk alone),Nederlands,1983,
155,A 107,Ad Visser & Daniel Sahuleka,Giddyap a gogo,,1982,
156,A 108,Anita Meyer,The one that you love,,1982,
157,A 109,Anita Meyer,Idaho,,1982,
158,A 110,Ad van Hoorn & Karin,In m'n DC 10,Nederlands,1982,
159,A 111,Agnetha Fältskog (Abba),The heat is on,,1983,
160,A 112 a,Abba,Under attack,,1982,
161,A 112 b,Abba,You owe me one,,1982,
162,A 113 a,Abba,The day before you came,,1982,
163,A 113 b,Abba,Cassandra,,1982,
164,A 114,Al Bano & Romina Power,Felicita,,1982,
165,A 115,Al Bano & Romina Power,Sharazan,,1981,
166,A 116 a,André Brasseur,Experience,Instrumentaal,1977,
167,A 116 b,André Brasseur,Reverie,Instrumentaal,1977,
168,A 117 a,Arthur Brown,Fire,,1968,
169,A 117 b,Arthur Brown,I put a spell on you,,1968,
170,A 118,Ashford & Simpson,Solid,,1984,
171,A 119,Alice & Battiato,I treni di tozeur,,1984,
172,A 120,Audrey Landers,Playa Blanca,,1983,
173,A 121,Afric Simone,Hafanana,,1975,
174,A 122,Andreas Vollenweider,Pace Verde,Instrumentaal (elektrische harp),1983,
175,A 123,"Annie Schilder, Kinderen voor kinderen, het Goede Doel",Eeuwige kerst,Kerst,1984,
176,A 124,Anita Meyer,The story of a new born love,,1985,
177,A 125 a,Agnetha Fältskog (Abba),Wrap your arms around me,,1983,
178,A 125 b,Agnetha Fältskog (Abba),Take good care of your children,,1983,
179,A 126,Art Sullivan & Kiki,Et si tu pars,,1977,
180,A 127,Amii Stewart,Knock on wood,,1979,
181,A 128,Anya,Moscou nights,,1985,
182,A 129,Audrey Landers,Honeymoon in Trinidad,,1984,
183,A 130,Aretha Franklin,Who's zoomin' who,,1985,
184,A 130,Aretha Franklin,Who's zoomin' who,,1985,
185,A 131,"Adventures, the",Another silent day,,1984,
186,A 132,A-ha,Take on me,,1985,
187,A 133,Annie Lennox & Al Green,Put a little love on your heart,,1988,
188,A 134,Astrid,Ik sluit zacht de deur,Nederlands,1988,
189,A 135,"Adventures, the",Send my heart,,1985,
190,A 136,A-ha,Hunting high and low,,1986,
191,A 137,Antonio Fargas (Huggy Bear) Starsky & Hutch,It's Christmas,Kerst,1980,
192,A 138,"Alan Parsons Project, the",The turn of a friendly card,,1980,
193,A 139 a,André van Duin,Waar is de steek van de keizer,Nederlands,1982,
194,A 139 b,André van Duin,Gatzdeladigee,Nederlands,1982,
195,A 140 a,André Hazes en het Nederlands Elftal,Wij houden van Oranje,Nederlands,1988,
196,A 140 b,André Hazes en het Nederlands Elftal,Wij houden van Oranje,Instrumentaal,1988,
197,A 141,Axis,Someone,,1972,
198,A 142 a 1,Anneke Grönloh,Cimeroni,Nederlands,1963,
199,A 142 a 2,Anneke Grönloh,Soerabaja,Nederlands,1963,
200,A 142 b 1,Anneke Grönloh,Paradiso,Nederlands,1962,
201,A 142 b 2,Anneke Grönloh,Brandend zand,Nederlands,1962,
202,A 143 a,André van Duin,het bananenlied,Nederlands,1972,
203,A 143 b,André van Duin,Jo met de jojo,Nederlands,1972,
204,A 144,A-ha,Stay on these roads,,1988,
205,A 145,Alice Cooper,How you gonna see me now,,1978,
206,A 146 a,André van Duin,35 koeien,Nederlands,1991,
207,A 146 b,André van Duin,het koeienlied,Nederlands,1991,
208,A 147,"Art of Noise, the ft. Tom Jones",Kiss,,1988,
209,B 1,Babe,"Please me, please do",,1979,
210,B 2,"Babys, the",Isn't it time,,1977,
211,B 3,"Babys, the",A piece of the action,,1978,
212,B 4,"Babys, the",Everytime I think of you,,1979,
213,B 5,Baccara,"Yes Sir, I can boogie",,1977,
214,B 6,Baccara,"Sorry, I'm a lady",,1977,
215,B 7,Baccara,Koochie-Koo,,1978,
216,B 8,Baccara,Darling,,1978,
217,B 9,Badfinger,Day after day,,1972,
218,B 10,Barbra Streisand,Second hand Rose,,1965,
219,B 11,Barclay James harvest,Titles,,1975,
220,B 12,Barend de Beer etc,Barend de Beer (van TV),RTV,1965,
221,B 13,Barend Servet,Waar moet dat heen,Nederlands,1973,
222,B 14,Barrabas,Woman,,1974,
223,B 15,Barry Biggs,Side show,,1977,
224,B 16,Barry Blue,Do you wanna dance,,1973,
225,B 17,Barry & Eileen,If you go,,1975,
226,B 18,Barry & Eileen,Summerwine,,1978,
227,B 19,Barry McGuire,Eve of destruction,,1965,
228,B 20,Barry Manilow,Copacabana (at the Copa),,1978,
229,B 21,Barry Ryan,Love is love,,1969,
230,B 22,Barry White,You see the trouble with me,,1976,
231,B 23,Bay City Rollers,Bye bye baby,,1974,
232,B 24,Bay City Rollers,I only wanna be with you,,1976,
233,B 25,"Beach Boys, the",Then I kissed her,,1967,
234,B 26 a,"Beatles, the",All together now,,1972,
235,B 26 b,"Beatles, the",Hey bulldog,,1972,
236,B 27 a,"Beatles, the",Help !,,1965,
237,B 27 b,"Beatles, the",I'm down,,1965,
238,B 28 a,"Beatles, the",I want to hold your hand,,1964,
239,B 28 b,"Beatles, the",I saw her standing there,,1964,
240,B 29 a,"Beatles, the",Love me do,,1964,
241,B 29 b,"Beatles, the",P.S. I love you,Disco,1964,
242,B 30 a,"Beatles, the",Lady Madonna,,1968,
243,B 30 b,"Beatles, the",The inner light,,1968,
